-17,0.375,-11,-24,0,-1,-30,5,-55,-1,-1,-0.078125,0.5,-13,-21,-0.25,-84,-1.5,0.5,-0.25,-0.5
4,0.875,-26,-6,-13,0,-90,8,4,1,6,0.015625,0.75,-4,-4,0.75,50,-2,0.5,-1,-1
-8,0,-7,52,6,1,60,1,-6,0.5,-3,-0.03125,0.75,0,2,0,51,-1.5,0.5,-0.125,-0.75
-12,0.5,-10,36,4,0,-45,7,25,0,2,-0.015625,0,-4,7,-0.25,115,0.5,0.5,-0.25,-0.5
3,0.75,9,-22,3,0,-77,2,-3,0,7,-0.078125,0,12,14,-0.25,22,-1.5,0.5,-0.5,-0.25
-20,0,-12,7,-4,0,13,-1,27,0.5,1,-0.125,0,-8,-8,0.25,105,-0.75,-0.5,-0.375,0.25
-1,0,-21,29,6,-1,67,-1,20,0.5,7,-0.078125,-0.25,13,-7,0.5,48,-0.5,1,-0.25,-0.75
-13,0.125,-9,-10,-3,0,-18,3,-22,0,0,-0.03125,1.25,-1,21,0,26,-0.25,0,-0.25,0.25
2,0.375,-26,-4,-7,0,-29,3,20,-0.5,6,-0.015625,0.5,-16,8,1.25,78,-1.5,1,-0.125,0
-19,0.5,5,13,-10,0,-57,4,4,1,3,-0.0625,0.25,5,-25,-0.25,96,-2.5,0,-0.5,-0.5
